GeneModel	Coverage	Integrity
PdomMRNAr1.2-00053.1	1	0.83
PdomMRNAr1.2-00054.1	0.06	0.02
PdomMRNAr1.2-00055.1	0.26	0.08
PdomMRNAr1.2-00056.1	1	0.75
PdomMRNAr1.2-00057.1	1	0.3
PdomMRNAr1.2-00058.1	1	1
PdomMRNAr1.2-00059.1	1	0.98
PdomMRNAr1.2-00060.1	1	0.87
PdomMRNAr1.2-00061.1	1	1
PdomMRNAr1.2-00062.1	1	0.78
PdomMRNAr1.2-00063.1	0.78	0.23
PdomMRNAr1.2-00064.1	1	0.95
PdomMRNAr1.2-00065.1	1	1
PdomMRNAr1.2-00066.1	1	0.95
PdomMRNAr1.2-00067.1	0.99	1
PdomMRNAr1.2-00068.1	0.32	0.4
PdomMRNAr1.2-00069.1	0.66	0.81
PdomMRNAr1.2-00070.1	1	0.3
PdomMRNAr1.2-00071.1	0.98	0.69
PdomMRNAr1.2-00072.1	1	0.64
PdomMRNAr1.2-00073.1	1	0.49
PdomMRNAr1.2-00074.1	1	0.9
PdomMRNAr1.2-00075.1	0.89	0.38
PdomMRNAr1.2-00076.1	1	0.94
PdomMRNAr1.2-00077.1	1	0.95
PdomMRNAr1.2-00078.1	0	NULL
PdomMRNAr1.2-00079.1	1	1
PdomMRNAr1.2-00080.1	1	1
PdomMRNAr1.2-00081.1	1	0.75
PdomMRNAr1.2-00082.1	1	0.95
PdomMRNAr1.2-00083.1	1	0.83
PdomMRNAr1.2-00084.1	1	0.85
PdomMRNAr1.2-00085.1	0.99	0.95
PdomMRNAr1.2-00086.1	0.79	0.59
PdomMRNAr1.2-00087.1	0.4	0.12
PdomMRNAr1.2-00088.1	0.95	0.28
PdomMRNAr1.2-00089.1	1	0.9
PdomMRNAr1.2-00090.1	0.69	0.57
PdomMRNAr1.2-00091.1	0.98	0.95
PdomMRNAr1.2-00092.1	1	0.94
PdomMRNAr1.2-00093.1	0.82	0.85
PdomMRNAr1.2-00094.1	1	0.86
PdomMRNAr1.2-00095.1	0.85	0.76
PdomMRNAr1.2-00096.1	1	0.94
PdomMRNAr1.2-00097.1	0.03	0.01
PdomMRNAr1.2-00098.1	1	0.97
PdomMRNAr1.2-00099.1	0	NULL
PdomMRNAr1.2-00100.1	1	0.7
PdomMRNAr1.2-00101.1	0.47	0.2
PdomMRNAr1.2-00102.1	0.48	0.14
PdomMRNAr1.2-00103.1	0.29	0.09
PdomMRNAr1.2-00104.1	1	0.95
PdomMRNAr1.2-00105.1	0.95	0.28
PdomMRNAr1.2-00106.1	1	1
PdomMRNAr1.2-00107.1	1	0.99
PdomMRNAr1.2-00108.1	1	0.84
PdomMRNAr1.2-00109.1	1	1
PdomMRNAr1.2-00110.1	1	1
PdomMRNAr1.2-00111.1	1	0.99
PdomMRNAr1.2-00112.1	1	0.3
PdomMRNAr1.2-00113.1	1	1
PdomMRNAr1.2-00114.1	1	0.95
PdomMRNAr1.2-00115.1	0.87	0.26
PdomMRNAr1.2-00116.1	1	1
PdomMRNAr1.2-00117.1	1	1
PdomMRNAr1.2-00118.1	1	0.3
PdomMRNAr1.2-00119.1	0	NULL
PdomMRNAr1.2-00120.1	0	NULL
PdomMRNAr1.2-00121.1	0.99	1
PdomMRNAr1.2-00122.1	1	0.3
PdomMRNAr1.2-00123.1	1	1
PdomMRNAr1.2-00124.1	1	0.99
PdomMRNAr1.2-00125.1	0	NULL
PdomMRNAr1.2-00126.1	1	1
PdomMRNAr1.2-00127.1	1	0.3
PdomMRNAr1.2-00128.1	1	0.99
PdomMRNAr1.2-00129.1	1	1
PdomMRNAr1.2-00130.1	0.22	0.07
PdomMRNAr1.2-00131.1	0.92	0.28
PdomMRNAr1.2-00132.1	1	0.95
PdomMRNAr1.2-00133.1	0.99	0.93
PdomMRNAr1.2-00134.1	0	0
PdomMRNAr1.2-00135.1	1	0.62
PdomMRNAr1.2-00137.1	1	0.95
PdomMRNAr1.2-00138.1	1	0.6
PdomMRNAr1.2-00139.1	1	0.9
PdomMRNAr1.2-00140.1	1	0.37
PdomMRNAr1.2-00141.1	1	0.97
PdomMRNAr1.2-00142.1	0.97	0.29
PdomMRNAr1.2-00143.1	1	0.65
PdomMRNAr1.2-00144.1	0	NULL
PdomMRNAr1.2-00146.1	1	0.96
PdomMRNAr1.2-00147.1	1	0.83
PdomMRNAr1.2-00148.1	1	0.3
PdomMRNAr1.2-00149.1	0	NULL
PdomMRNAr1.2-00150.1	0.06	0.02
PdomMRNAr1.2-00151.1	1	0.95
PdomMRNAr1.2-00152.1	1	0.9
PdomMRNAr1.2-00153.1	1	1
PdomMRNAr1.2-00154.1	1	0.35
PdomMRNAr1.2-00155.1	1	0.93
PdomMRNAr1.2-00156.1	0	NULL
PdomMRNAr1.2-00157.1	1	0.95
PdomMRNAr1.2-00158.1	0.49	0.15
PdomMRNAr1.2-00159.1	0.77	0.64
PdomMRNAr1.2-00160.1	1	1
PdomMRNAr1.2-00161.1	0.85	0.63
PdomMRNAr1.2-00162.1	0.66	0.64
PdomMRNAr1.2-00163.1	0.33	0.42
PdomMRNAr1.2-00164.1	1	0.9
PdomMRNAr1.2-00165.1	0.94	0.8
PdomMRNAr1.2-00166.1	0.63	0.19
PdomMRNAr1.2-00167.1	1	1
PdomMRNAr1.2-00168.1	1	0.95
PdomMRNAr1.2-00169.1	1	1
PdomMRNAr1.2-00170.1	1	0.3
PdomMRNAr1.2-00171.1	0.57	0.17
PdomMRNAr1.2-00172.1	0.47	0.14
PdomMRNAr1.2-00173.1	0	NULL
PdomMRNAr1.2-00174.1	0.85	0.25
PdomMRNAr1.2-00175.1	1	0.95
PdomMRNAr1.2-00176.1	0.54	0.28
PdomMRNAr1.2-00177.1	1	0.9
PdomMRNAr1.2-00178.1	1	0.75
PdomMRNAr1.2-00179.1	0.49	0.15
PdomMRNAr1.2-00180.1	1	1
PdomMRNAr1.2-00181.1	1	1
PdomMRNAr1.2-00182.1	0.37	0.36
PdomMRNAr1.2-00183.1	1	1
PdomMRNAr1.2-00184.1	0.95	0.49
PdomMRNAr1.2-00185.1	1	0.99
PdomMRNAr1.2-00186.1	1	0.66
PdomMRNAr1.2-00187.1	1	0.95
PdomMRNAr1.2-00188.1	1	0.96
PdomMRNAr1.2-00189.1	0.15	0.05
PdomMRNAr1.2-00190.1	1	0.94
PdomMRNAr1.2-00191.1	1	0.94
PdomMRNAr1.2-00192.1	1	1
PdomMRNAr1.2-00193.1	0.82	0.87
PdomMRNAr1.2-00194.1	1	0.95
PdomMRNAr1.2-00195.1	0.87	0.69
PdomMRNAr1.2-00196.1	1	0.93
PdomMRNAr1.2-00197.1	1	0.3
PdomMRNAr1.2-00198.1	1	0.97
PdomMRNAr1.2-00199.1	0.78	0.23
PdomMRNAr1.2-00200.1	1	0.93
PdomMRNAr1.2-00201.1	1	0.97
PdomMRNAr1.2-00202.1	0.99	0.83
PdomMRNAr1.2-00203.1	0.95	0.84
PdomMRNAr1.2-00204.1	1	0.77
PdomMRNAr1.2-00205.1	1	0.3
PdomMRNAr1.2-00206.1	1	0.95
PdomMRNAr1.2-00207.1	1	1
PdomMRNAr1.2-00208.1	0.98	0.64
PdomMRNAr1.2-00209.1	0.86	0.77
PdomMRNAr1.2-00210.1	1	1
PdomMRNAr1.2-00211.1	1	1
PdomMRNAr1.2-00212.1	1	0.6
PdomMRNAr1.2-00213.1	1	0.75
PdomMRNAr1.2-00214.1	0.1	0.03
PdomMRNAr1.2-00215.1	1	0.95
PdomMRNAr1.2-00219.1	1	0.9
PdomMRNAr1.2-00220.1	0.35	0.1
PdomMRNAr1.2-00221.1	1	0.96
PdomMRNAr1.2-00222.1	1	1
PdomMRNAr1.2-00223.1	0.12	0.04
PdomMRNAr1.2-00224.1	1	0.97
PdomMRNAr1.2-00225.1	1	0.92
PdomMRNAr1.2-00226.1	0	NULL
PdomMRNAr1.2-00227.1	0.99	0.6
PdomMRNAr1.2-00228.1	0.02	0.01
PdomMRNAr1.2-00229.1	0.6	0.38
PdomMRNAr1.2-00230.1	1	1
PdomMRNAr1.2-00231.1	0.11	0.03
PdomMRNAr1.2-00232.1	0.29	0.09
PdomMRNAr1.2-00233.1	1	0.9
PdomMRNAr1.2-00234.1	1	0.9
PdomMRNAr1.2-00235.1	0	NULL
PdomMRNAr1.2-00236.1	1	1
PdomMRNAr1.2-00237.1	1	0.95
PdomMRNAr1.2-00238.1	0.98	0.29
PdomMRNAr1.2-00239.1	0.56	0.17
PdomMRNAr1.2-00240.1	1	0.99
PdomMRNAr1.2-00241.1	1	0.9
PdomMRNAr1.2-00242.1	0.86	0.43
PdomMRNAr1.2-00243.1	1	1
PdomMRNAr1.2-00244.1	0.78	0.28
PdomMRNAr1.2-00245.1	0.88	0.26
PdomMRNAr1.2-00246.1	0.05	0.02
PdomMRNAr1.2-00247.1	0.06	0.02
PdomMRNAr1.2-00248.1	0.41	0.12
PdomMRNAr1.2-00249.1	1	0.93
PdomMRNAr1.2-00250.1	1	0.66
PdomMRNAr1.2-00251.1	1	0.73
PdomMRNAr1.2-00252.1	1	0.97
PdomMRNAr1.2-00253.1	1	0.9
PdomMRNAr1.2-00254.1	0.1	0.03
PdomMRNAr1.2-00255.1	0.97	0.8
PdomMRNAr1.2-00256.1	1	1
PdomMRNAr1.2-00257.1	0.1	0.03
PdomMRNAr1.2-00258.1	1	0.88
PdomMRNAr1.2-00259.1	1	0.9
PdomMRNAr1.2-00260.1	1	0.96
PdomMRNAr1.2-00261.1	1	0.99
PdomMRNAr1.2-00262.1	0.39	0.23
PdomMRNAr1.2-00263.1	0.17	0.05
PdomMRNAr1.2-00264.1	0.96	0.66
PdomMRNAr1.2-00265.1	1	0.5
PdomMRNAr1.2-00266.1	1	0.88
PdomMRNAr1.2-00267.1	0	NULL
PdomMRNAr1.2-00268.1	0.58	0.43
PdomMRNAr1.2-00269.1	1	0.3
PdomMRNAr1.2-00270.1	0.59	0.39
PdomMRNAr1.2-00271.1	0	NULL
PdomMRNAr1.2-00272.1	1	0.95
PdomMRNAr1.2-00273.1	1	0.35
PdomMRNAr1.2-00274.1	0.95	0.93
PdomMRNAr1.2-00275.1	1	0.91
PdomMRNAr1.2-00276.1	0.41	0.12
PdomMRNAr1.2-00277.1	0.9	0.92
PdomMRNAr1.2-00278.1	1	0.63
PdomMRNAr1.2-00279.1	1	1
PdomMRNAr1.2-00280.1	0.45	0.14
PdomMRNAr1.2-00281.1	0	NULL
PdomMRNAr1.2-00282.1	1	0.95
PdomMRNAr1.2-00283.1	1	0.3
PdomMRNAr1.2-00284.1	1	0.92
PdomMRNAr1.2-00285.1	0.94	0.73
PdomMRNAr1.2-00286.1	1	0.87
PdomMRNAr1.2-00287.1	0.77	0.28
PdomMRNAr1.2-00288.1	1	1
PdomMRNAr1.2-00289.1	0.98	0.79
PdomMRNAr1.2-00290.1	1	0.5
PdomMRNAr1.2-00291.1	0.68	0.2
PdomMRNAr1.2-00292.1	1	1
PdomMRNAr1.2-00293.1	1	0.88
PdomMRNAr1.2-00294.1	0	NULL
PdomMRNAr1.2-00295.1	1	0.95
PdomMRNAr1.2-00296.1	1	0.9
PdomMRNAr1.2-00300.1	1	0.83
PdomMRNAr1.2-00301.1	1	0.61
PdomMRNAr1.2-00302.1	1	0.78
PdomMRNAr1.2-00303.1	1	0.32
PdomMRNAr1.2-00304.1	1	1
PdomMRNAr1.2-00305.1	0.69	0.21
PdomMRNAr1.2-00306.1	0.07	0.02
PdomMRNAr1.2-00307.1	0.22	0.07
PdomMRNAr1.2-00308.1	0.98	0.78
PdomMRNAr1.2-00309.1	1	0.93
PdomMRNAr1.2-00310.1	1	0.8
PdomMRNAr1.2-00311.1	0.16	0.05
PdomMRNAr1.2-00312.1	1	0.92
PdomMRNAr1.2-00313.1	1	0.95
PdomMRNAr1.2-00314.1	1	1
PdomMRNAr1.2-00315.1	0.78	0.42
PdomMRNAr1.2-00316.1	1	0.89
PdomMRNAr1.2-00317.1	1	0.75
PdomMRNAr1.2-00318.1	1	1
PdomMRNAr1.2-00319.1	1	1
PdomMRNAr1.2-00320.1	0	NULL
PdomMRNAr1.2-00321.1	0.98	0.83
PdomMRNAr1.2-00322.1	1	0.78
PdomMRNAr1.2-00323.1	0	0
PdomMRNAr1.2-00324.1	1	0.32
PdomMRNAr1.2-00325.1	0	NULL
PdomMRNAr1.2-00326.1	0	NULL
PdomMRNAr1.2-00327.1	1	0.96
PdomMRNAr1.2-00328.1	1	0.3
PdomMRNAr1.2-00329.1	0	NULL
PdomMRNAr1.2-00330.1	0	NULL
PdomMRNAr1.2-00331.1	0	NULL
PdomMRNAr1.2-00332.1	0.8	0.53
PdomMRNAr1.2-00333.1	1	0.96
PdomMRNAr1.2-00334.1	0.99	0.9
PdomMRNAr1.2-00335.1	1	0.3
PdomMRNAr1.2-00336.1	0.88	0.91
PdomMRNAr1.2-00337.1	1	0.95
PdomMRNAr1.2-00338.1	1	0.99
PdomMRNAr1.2-00339.1	0.99	0.95
PdomMRNAr1.2-00340.1	1	0.99
PdomMRNAr1.2-00341.1	1	0.3
PdomMRNAr1.2-00342.1	0	NULL
PdomMRNAr1.2-00343.1	0.95	0.74
PdomMRNAr1.2-00344.1	1	0.99
PdomMRNAr1.2-00345.1	1	0.9
PdomMRNAr1.2-00346.1	1	1
PdomMRNAr1.2-00347.1	1	1
PdomMRNAr1.2-00348.1	1	0.86
PdomMRNAr1.2-00349.1	0.84	0.4
PdomMRNAr1.2-00350.1	1	0.97
PdomMRNAr1.2-00351.1	0.43	0.17
PdomMRNAr1.2-00352.1	0.74	0.22
PdomMRNAr1.2-00353.1	1	0.95
PdomMRNAr1.2-00354.1	1	0.95
PdomMRNAr1.2-00356.1	1	0.9
PdomMRNAr1.2-00357.1	1	1
PdomMRNAr1.2-00358.1	0	0
PdomMRNAr1.2-00359.1	1	0.9
PdomMRNAr1.2-00360.1	1	0.98
PdomMRNAr1.2-00361.1	1	0.95
PdomMRNAr1.2-00362.1	0.56	0.17
PdomMRNAr1.2-00363.1	1	0.9
PdomMRNAr1.2-00364.1	1	0.98
PdomMRNAr1.2-00365.1	1	0.83
PdomMRNAr1.2-00366.1	1	0.92
PdomMRNAr1.2-00367.1	1	0.99
PdomMRNAr1.2-00368.1	1	0.3
PdomMRNAr1.2-00369.1	1	0.82
PdomMRNAr1.2-00370.1	1	0.54
PdomMRNAr1.2-00371.1	0.22	0.09
PdomMRNAr1.2-00372.1	1	1
PdomMRNAr1.2-00373.1	1	1
PdomMRNAr1.2-00374.1	0.82	0.25
PdomMRNAr1.2-00375.1	0.96	0.74
PdomMRNAr1.2-00376.1	1	0.96
PdomMRNAr1.2-00377.1	1	1
PdomMRNAr1.2-00378.1	1	1
PdomMRNAr1.2-00379.1	1	0.96
PdomMRNAr1.2-00380.1	1	0.95
PdomMRNAr1.2-00381.1	0.07	0.02
PdomMRNAr1.2-00382.1	1	0.65
PdomMRNAr1.2-00383.1	1	1
PdomMRNAr1.2-00384.1	1	1
PdomMRNAr1.2-00385.1	1	0.95
PdomMRNAr1.2-00386.1	0.97	0.29
PdomMRNAr1.2-00387.1	1	0.99
PdomMRNAr1.2-00388.1	1	1
PdomMRNAr1.2-00389.1	0.19	0.06
PdomMRNAr1.2-00390.1	1	1
PdomMRNAr1.2-00391.1	1	1
PdomMRNAr1.2-00392.1	0.99	0.3
PdomMRNAr1.2-00393.1	0.16	0.05
PdomMRNAr1.2-00394.1	1	0.95
PdomMRNAr1.2-00395.1	1	0.85
PdomMRNAr1.2-00396.1	0.04	0.01
PdomMRNAr1.2-00397.1	0	NULL
PdomMRNAr1.2-00398.1	1	0.9
PdomMRNAr1.2-00399.1	1	0.99
PdomMRNAr1.2-00400.1	1	0.95
PdomMRNAr1.2-00401.1	0.97	0.71
PdomMRNAr1.2-00402.1	1	0.91
PdomMRNAr1.2-00403.1	1	0.96
PdomMRNAr1.2-00404.1	1	0.88
PdomMRNAr1.2-00405.1	0	NULL
PdomMRNAr1.2-00406.1	1	1
PdomMRNAr1.2-00407.1	1	0.55
PdomMRNAr1.2-00408.1	1	0.95
PdomMRNAr1.2-00409.1	1	0.8
PdomMRNAr1.2-00410.1	1	1
PdomMRNAr1.2-00411.1	0.99	0.42
PdomMRNAr1.2-00412.1	1	0.83
PdomMRNAr1.2-00413.1	1	0.9
PdomMRNAr1.2-00414.1	1	0.65
PdomMRNAr1.2-00415.1	0.36	0.46
PdomMRNAr1.2-00416.1	1	0.87
PdomMRNAr1.2-00417.1	0.1	0.03
PdomMRNAr1.2-00418.1	0.99	0.85
PdomMRNAr1.2-00419.1	1	0.97
PdomMRNAr1.2-00420.1	1	1
PdomMRNAr1.2-00421.1	0.99	1
PdomMRNAr1.2-00422.1	0.96	0.9
PdomMRNAr1.2-00423.1	1	0.6
PdomMRNAr1.2-00424.1	1	0.47
PdomMRNAr1.2-00425.1	1	1
PdomMRNAr1.2-00426.1	1	0.99
PdomMRNAr1.2-00427.1	1	1
PdomMRNAr1.2-00428.1	1	0.97
PdomMRNAr1.2-00429.1	1	1
PdomMRNAr1.2-00430.1	1	0.95
PdomMRNAr1.2-00431.1	1	0.9
PdomMRNAr1.2-00432.1	0.77	0.48
PdomMRNAr1.2-00433.1	0	NULL
PdomMRNAr1.2-00434.1	1	0.98
PdomMRNAr1.2-00435.1	0.99	0.54
PdomMRNAr1.2-00436.1	1	0.93
PdomMRNAr1.2-00437.1	1	0.9
PdomMRNAr1.2-00438.1	1	0.9
PdomMRNAr1.2-00439.1	1	1
PdomMRNAr1.2-00440.1	1	0.8
PdomMRNAr1.2-00441.1	1	1
PdomMRNAr1.2-00442.1	1	0.9
PdomMRNAr1.2-00443.1	1	0.9
PdomMRNAr1.2-00444.1	1	0.7
PdomMRNAr1.2-00445.1	1	1
PdomMRNAr1.2-00446.1	1	0.91
PdomMRNAr1.2-00447.1	1	0.93
PdomMRNAr1.2-00448.1	0.84	0.25
PdomMRNAr1.2-00449.1	1	0.95
PdomMRNAr1.2-00450.1	1	0.95
PdomMRNAr1.2-00451.1	0.55	0.55
PdomMRNAr1.2-00452.1	1	0.99
PdomMRNAr1.2-00453.1	0.92	0.28
PdomMRNAr1.2-00454.1	0.46	0.29
PdomMRNAr1.2-00455.1	1	0.9
PdomMRNAr1.2-00456.1	1	1
PdomMRNAr1.2-00457.1	0.92	0.6
PdomMRNAr1.2-00458.1	1	1
PdomMRNAr1.2-00459.1	1	0.3
PdomMRNAr1.2-00460.1	1	0.93
PdomMRNAr1.2-00461.1	1	0.9
PdomMRNAr1.2-00462.1	0.97	0.84
PdomMRNAr1.2-00463.1	0.98	0.82
PdomMRNAr1.2-00464.1	1	0.3
PdomMRNAr1.2-00465.1	0.92	0.48
PdomMRNAr1.2-00466.1	0.97	0.76
PdomMRNAr1.2-00467.1	0.95	0.89
PdomMRNAr1.2-00468.1	0.8	0.41
PdomMRNAr1.2-00470.1	1	0.93
PdomMRNAr1.2-00471.1	1	1
PdomMRNAr1.2-00472.1	0.9	0.77
PdomMRNAr1.2-00473.1	1	0.95
PdomMRNAr1.2-00474.1	0.39	0.12
PdomMRNAr1.2-00475.1	1	0.99
PdomMRNAr1.2-00476.1	0	NULL
PdomMRNAr1.2-00477.1	1	1
PdomMRNAr1.2-00478.1	0	NULL
PdomMRNAr1.2-00479.1	1	0.97
PdomMRNAr1.2-00480.1	0.41	0.35
PdomMRNAr1.2-00481.1	0.49	0.15
PdomMRNAr1.2-00482.1	0	NULL
PdomMRNAr1.2-00483.1	1	0.96
PdomMRNAr1.2-00484.1	1	0.99
PdomMRNAr1.2-00485.1	1	0.83
PdomMRNAr1.2-00486.1	0.96	0.29
PdomMRNAr1.2-00487.1	1	0.97
PdomMRNAr1.2-00488.1	0.03	0.01
PdomMRNAr1.2-00489.1	0.92	0.28
PdomMRNAr1.2-00490.1	1	1
PdomMRNAr1.2-00491.1	0.98	0.93
PdomMRNAr1.2-00492.1	0.13	0.04
PdomMRNAr1.2-00493.1	1	0.95
PdomMRNAr1.2-00494.1	1	1
PdomMRNAr1.2-00495.1	1	0.9
PdomMRNAr1.2-00496.1	1	0.65
PdomMRNAr1.2-00497.1	1	0.3
PdomMRNAr1.2-00498.1	0	NULL
PdomMRNAr1.2-00499.1	1	0.7
PdomMRNAr1.2-00500.1	0.65	0.24
PdomMRNAr1.2-00501.1	1	1
PdomMRNAr1.2-00502.1	1	0.83
PdomMRNAr1.2-00503.1	1	0.98
PdomMRNAr1.2-00504.1	0.43	0.14
PdomMRNAr1.2-00505.1	0.99	0.34
PdomMRNAr1.2-00506.1	1	0.82
PdomMRNAr1.2-00507.1	1	1
PdomMRNAr1.2-00508.1	1	0.95
PdomMRNAr1.2-00509.1	1	1
PdomMRNAr1.2-00510.1	0.16	0.05
PdomMRNAr1.2-00511.1	0.88	0.26
PdomMRNAr1.2-00512.1	0.86	0.38
PdomMRNAr1.2-00513.1	1	0.3
PdomMRNAr1.2-00514.1	1	1
PdomMRNAr1.2-00515.1	1	0.45
PdomMRNAr1.2-00516.1	0.04	0.01
PdomMRNAr1.2-00517.1	1	1
PdomMRNAr1.2-00518.1	0.99	0.83
PdomMRNAr1.2-00519.1	0	NULL
PdomMRNAr1.2-00520.1	1	0.52
PdomMRNAr1.2-00521.1	0.81	0.62
PdomMRNAr1.2-00522.1	1	0.99
PdomMRNAr1.2-00523.1	0	NULL
PdomMRNAr1.2-00524.1	1	0.96
PdomMRNAr1.2-00525.1	1	0.96
PdomMRNAr1.2-00526.1	0	NULL
PdomMRNAr1.2-00527.1	1	0.95
PdomMRNAr1.2-00528.1	1	0.95
PdomMRNAr1.2-00529.1	1	0.98
PdomMRNAr1.2-00530.1	1	0.95
PdomMRNAr1.2-00531.1	0	NULL
PdomMRNAr1.2-00532.1	1	0.98
PdomMRNAr1.2-00533.1	1	0.99
PdomMRNAr1.2-00534.1	1	0.74
PdomMRNAr1.2-00535.1	0.33	0.25
PdomMRNAr1.2-00536.1	0.11	0.03
PdomMRNAr1.2-00537.1	0.01	0
PdomMRNAr1.2-00538.1	1	1
PdomMRNAr1.2-00539.1	1	1
PdomMRNAr1.2-00540.1	1	1
PdomMRNAr1.2-00541.1	0.97	0.65
PdomMRNAr1.2-00542.1	1	1
PdomMRNAr1.2-00543.1	1	0.95
PdomMRNAr1.2-00544.1	1	1
PdomMRNAr1.2-00545.1	0.06	0.02
PdomMRNAr1.2-00546.1	0.02	0.01
PdomMRNAr1.2-00547.1	1	1
PdomMRNAr1.2-00548.1	1	1
PdomMRNAr1.2-00549.1	0	0
PdomMRNAr1.2-00550.1	0.97	0.87
PdomMRNAr1.2-00551.1	0.31	0.19
PdomMRNAr1.2-00552.1	1	0.99
PdomMRNAr1.2-00553.1	0.98	0.33
PdomMRNAr1.2-00554.1	1	1
PdomMRNAr1.2-00555.1	1	0.93
PdomMRNAr1.2-00556.1	1	0.8
PdomMRNAr1.2-00557.1	1	1
PdomMRNAr1.2-00558.1	1	0.6
PdomMRNAr1.2-00559.1	1	0.86
PdomMRNAr1.2-00560.1	0	0
PdomMRNAr1.2-00561.1	0.98	0.93
PdomMRNAr1.2-00562.1	0	NULL
PdomMRNAr1.2-00563.1	0.36	0.11
PdomMRNAr1.2-00564.1	0.8	0.29
PdomMRNAr1.2-00565.1	0.05	0.02
PdomMRNAr1.2-00566.1	0.9	0.27
PdomMRNAr1.2-00567.1	1	1
PdomMRNAr1.2-00568.1	0.14	0.04
PdomMRNAr1.2-00569.1	1	0.95
PdomMRNAr1.2-00570.1	1	0.6
PdomMRNAr1.2-00571.1	0.9	0.87
PdomMRNAr1.2-00572.1	1	1
PdomMRNAr1.2-00573.1	1	1
PdomMRNAr1.2-00574.1	0.75	0.23
PdomMRNAr1.2-00575.1	0	NULL
PdomMRNAr1.2-00576.1	0.99	0.77
PdomMRNAr1.2-00577.1	0.91	0.8
PdomMRNAr1.2-00578.1	1	1
PdomMRNAr1.2-00579.1	0.99	0.84
PdomMRNAr1.2-00580.1	0	NULL
PdomMRNAr1.2-00581.1	1	0.3
PdomMRNAr1.2-00582.1	1	1
PdomMRNAr1.2-00583.1	1	0.3
PdomMRNAr1.2-00584.1	1	0.92
PdomMRNAr1.2-00585.1	1	0.96
PdomMRNAr1.2-00586.1	1	1
PdomMRNAr1.2-00587.1	1	1
PdomMRNAr1.2-00588.1	1	1
PdomMRNAr1.2-00589.1	1	0.3
PdomMRNAr1.2-00590.1	1	1
PdomMRNAr1.2-00591.1	1	0.3
PdomMRNAr1.2-00592.1	1	1
PdomMRNAr1.2-00593.1	0.42	0.28
PdomMRNAr1.2-00594.1	1	1
PdomMRNAr1.2-00595.1	1	0.35
PdomMRNAr1.2-00596.1	1	0.98
PdomMRNAr1.2-00597.1	1	1
PdomMRNAr1.2-00598.1	1	0.9
PdomMRNAr1.2-00599.1	1	1
PdomMRNAr1.2-00600.1	1	1
PdomMRNAr1.2-00601.1	1	0.95
PdomMRNAr1.2-00602.1	1	0.9
PdomMRNAr1.2-00603.1	0.99	0.3
PdomMRNAr1.2-00604.1	0	NULL
PdomMRNAr1.2-00606.1	1	0.31
PdomMRNAr1.2-00607.1	1	0.86
PdomMRNAr1.2-00608.1	1	1
PdomMRNAr1.2-00609.1	0.82	0.51
PdomMRNAr1.2-00610.1	1	0.9
PdomMRNAr1.2-00611.1	0.9	0.27
PdomMRNAr1.2-00612.1	0.96	0.85
PdomMRNAr1.2-00613.1	1	0.99
PdomMRNAr1.2-00614.1	1	0.98
