ID	Length	Source	ExonCount	CDSLength	Coverage	Integrity
PdomMRNAr1.2-00155.1	1057	VIGA	3	534	1.00	0.93
PdomMRNAr1.2-00156.1	692	genemark	2	408	0.00	0.00
PdomMRNAr1.2-00157.1	2667	augustus	10	1722	1.00	0.95
PdomMRNAr1.2-00158.1	10809	VIGA	2	1122	0.49	0.15
PdomMRNAr1.2-00159.1	1273	genemark	6	672	0.77	0.64
PdomMRNAr1.2-00160.1	2698	VIGA	8	975	1.00	1.00
PdomMRNAr1.2-00161.1	69446	VIGA	12	1452	0.85	0.63
PdomMRNAr1.2-00162.1	1327	augustus	4	567	0.66	0.64
PdomMRNAr1.2-00163.1	2563	augustus	5	540	0.33	0.42
PdomMRNAr1.2-00164.1	571	genemark	3	387	1.00	0.90
PdomMRNAr1.2-00165.1	68272	augustus	35	9033	0.94	0.80
PdomMRNAr1.2-00166.1	1832	augustus	2	249	0.63	0.19
PdomMRNAr1.2-00167.1	3033	augustus	4	1476	1.00	1.00
PdomMRNAr1.2-00168.1	7404	genemark	7	1506	1.00	0.95
PdomMRNAr1.2-00169.1	4085	VIGA	10	1413	1.00	1.00
PdomMRNAr1.2-00170.1	1110	augustus	4	768	1.00	0.30
PdomMRNAr1.2-00171.1	834	snap	2	270	0.57	0.17
PdomMRNAr1.2-00172.1	2801	snap	5	381	0.47	0.14
PdomMRNAr1.2-00173.1	1183	snap	4	315	0.00	0.00
PdomMRNAr1.2-00174.1	2383	snap	4	426	0.85	0.25
PdomMRNAr1.2-00175.1	7594	augustus	7	1458	1.00	0.95
PdomMRNAr1.2-00176.1	1870	snap	6	315	0.54	0.28
PdomMRNAr1.2-00177.1	1524	genemark	1	1524	1.00	0.90
PdomMRNAr1.2-00178.1	2277	genemark	4	816	1.00	0.75
PdomMRNAr1.2-00179.1	1038	snap	2	219	0.49	0.15
PdomMRNAr1.2-00180.1	3764	augustus	9	990	1.00	1.00
PdomMRNAr1.2-00181.1	1673	VIGA	5	642	1.00	1.00
PdomMRNAr1.2-00182.1	3234	VIGA	4	2682	0.37	0.36
PdomMRNAr1.2-00183.1	12360	genemark	9	2358	1.00	1.00
PdomMRNAr1.2-00184.1	1608	snap	4	291	0.95	0.49
PdomMRNAr1.2-00185.1	2868	augustus	9	1659	1.00	0.99
PdomMRNAr1.2-00186.1	3137	augustus	11	1821	1.00	0.66
PdomMRNAr1.2-00187.1	1556	augustus	4	543	1.00	0.95
PdomMRNAr1.2-00188.1	1531	augustus	5	975	1.00	0.96
PdomMRNAr1.2-00189.1	490	snap	2	207	0.15	0.05
PdomMRNAr1.2-00190.1	10824	snap	11	2043	1.00	0.94
PdomMRNAr1.2-00191.1	1932	genemark	5	1020	1.00	0.94
PdomMRNAr1.2-00192.1	2648	genemark	5	810	1.00	1.00
PdomMRNAr1.2-00193.1	484	genemark	3	240	0.82	0.87
PdomMRNAr1.2-00194.1	2912	snap	8	1728	1.00	0.95
PdomMRNAr1.2-00195.1	2533	snap	4	501	0.87	0.69
PdomMRNAr1.2-00196.1	11097	augustus	9	2583	1.00	0.93
PdomMRNAr1.2-00197.1	2109	genemark	6	1650	1.00	0.30
PdomMRNAr1.2-00198.1	1228	augustus	2	918	1.00	0.97
PdomMRNAr1.2-00199.1	2147	snap	4	327	0.78	0.23
PdomMRNAr1.2-00200.1	2028	genemark	5	1377	1.00	0.93
PdomMRNAr1.2-00201.1	1634	genemark	3	861	1.00	0.97
PdomMRNAr1.2-00202.1	2381	snap	10	1524	0.99	0.83
PdomMRNAr1.2-00203.1	4553	augustus	13	1491	0.95	0.84
PdomMRNAr1.2-00204.1	3075	snap	11	1569	1.00	0.77
PdomMRNAr1.2-00205.1	558	snap	3	207	1.00	0.30
PdomMRNAr1.2-00206.1	6480	snap	6	1341	1.00	0.95
PdomMRNAr1.2-00207.1	2373	genemark	5	849	1.00	1.00
PdomMRNAr1.2-00208.1	4226	augustus	5	1707	0.98	0.64
PdomMRNAr1.2-00209.1	11491	augustus	24	5049	0.86	0.77
PdomMRNAr1.2-00210.1	7261	VIGA	9	2088	1.00	1.00
PdomMRNAr1.2-00211.1	2457	VIGA	3	624	1.00	1.00
PdomMRNAr1.2-00212.1	1755	augustus	3	1245	1.00	0.60
PdomMRNAr1.2-00213.1	2494	genemark	4	1110	1.00	0.75
PdomMRNAr1.2-00214.1	1979	genemark	4	585	0.10	0.03
PdomMRNAr1.2-00215.1	1903	genemark	6	1239	1.00	0.95
PdomMRNAr1.2-00219.1	2427	snap	1	2427	1.00	0.90
PdomMRNAr1.2-00220.1	13866	snap	6	336	0.35	0.10
PdomMRNAr1.2-00221.1	1659	genemark	4	672	1.00	0.96
PdomMRNAr1.2-00222.1	8246	genemark	12	3762	1.00	1.00
PdomMRNAr1.2-00223.1	531	genemark	2	282	0.12	0.04
PdomMRNAr1.2-00224.1	1483	VIGA	5	882	1.00	0.97
PdomMRNAr1.2-00225.1	16830	VIGA	9	1395	1.00	0.92
PdomMRNAr1.2-00226.1	270	augustus	1	270	0.00	0.00
PdomMRNAr1.2-00227.1	2415	genemark	5	1884	0.99	0.60
PdomMRNAr1.2-00228.1	37067	augustus	8	1314	0.02	0.01
PdomMRNAr1.2-00229.1	8519	augustus	5	1305	0.60	0.38
PdomMRNAr1.2-00230.1	10282	genemark	18	2268	1.00	1.00
PdomMRNAr1.2-00231.1	658	snap	2	246	0.11	0.03
PdomMRNAr1.2-00232.1	696	snap	3	288	0.29	0.09
PdomMRNAr1.2-00233.1	1893	snap	1	1893	1.00	0.90
PdomMRNAr1.2-00234.1	833	snap	4	528	1.00	0.90
PdomMRNAr1.2-00235.1	480	augustus	2	369	0.00	0.00
PdomMRNAr1.2-00236.1	7730	augustus	13	4608	1.00	1.00
PdomMRNAr1.2-00237.1	1093	genemark	2	564	1.00	0.95
PdomMRNAr1.2-00238.1	2604	snap	3	381	0.98	0.29
PdomMRNAr1.2-00239.1	893	snap	2	330	0.56	0.17
PdomMRNAr1.2-00240.1	3068	VIGA	8	1872	1.00	0.99
PdomMRNAr1.2-00241.1	812	snap	3	645	1.00	0.90
PdomMRNAr1.2-00242.1	4315	genemark	6	2793	0.86	0.43
PdomMRNAr1.2-00243.1	2869	genemark	5	720	1.00	1.00
PdomMRNAr1.2-00244.1	1204	genemark	3	567	0.78	0.28
PdomMRNAr1.2-00245.1	761	snap	5	351	0.88	0.26
PdomMRNAr1.2-00246.1	1814	snap	3	219	0.05	0.02
PdomMRNAr1.2-00247.1	6105	snap	8	3285	0.06	0.02
PdomMRNAr1.2-00248.1	2800	snap	8	1413	0.41	0.12
PdomMRNAr1.2-00249.1	4838	augustus	13	2046	1.00	0.93
PdomMRNAr1.2-00250.1	240	snap	1	240	1.00	0.66
PdomMRNAr1.2-00251.1	3986	genemark	8	2526	1.00	0.73
PdomMRNAr1.2-00252.1	1992	snap	5	1134	1.00	0.97
PdomMRNAr1.2-00253.1	4934	augustus	7	2757	1.00	0.90
PdomMRNAr1.2-00254.1	3846	snap	14	1320	0.10	0.03
PdomMRNAr1.2-00255.1	11460	snap	15	2121	0.97	0.80
PdomMRNAr1.2-00256.1	4069	genemark	8	1425	1.00	1.00
PdomMRNAr1.2-00257.1	1735	VIGA	4	435	0.10	0.03
PdomMRNAr1.2-00258.1	3687	VIGA	11	1290	1.00	0.88
PdomMRNAr1.2-00259.1	1872	VIGA	1	1872	1.00	0.90
PdomMRNAr1.2-00260.1	5723	genemark	8	1254	1.00	0.96
PdomMRNAr1.2-00261.1	5735	VIGA	9	2367	1.00	0.99
PdomMRNAr1.2-00262.1	20752	snap	10	1476	0.39	0.23
PdomMRNAr1.2-00263.1	2142	snap	5	378	0.17	0.05
PdomMRNAr1.2-00264.1	6097	genemark	16	3231	0.96	0.66
PdomMRNAr1.2-00265.1	955	snap	4	591	1.00	0.50
PdomMRNAr1.2-00266.1	3314	genemark	6	1110	1.00	0.88
PdomMRNAr1.2-00267.1	1532	snap	3	465	0.00	0.00
PdomMRNAr1.2-00268.1	47124	augustus	22	1665	0.58	0.43
PdomMRNAr1.2-00269.1	2025	augustus	2	1932	1.00	0.30
PdomMRNAr1.2-00270.1	4968	augustus	12	2010	0.59	0.39
PdomMRNAr1.2-00271.1	968	genemark	3	381	0.00	0.00
PdomMRNAr1.2-00272.1	5304	genemark	10	3837	1.00	0.95
PdomMRNAr1.2-00273.1	550	genemark	2	243	1.00	0.35
PdomMRNAr1.2-00274.1	1073	augustus	2	561	0.95	0.93
PdomMRNAr1.2-00275.1	30072	genemark	13	2583	1.00	0.91
PdomMRNAr1.2-00276.1	8636	snap	6	333	0.41	0.12
PdomMRNAr1.2-00277.1	9011	VIGA	7	4467	0.90	0.92
PdomMRNAr1.2-00278.1	1866	genemark	5	987	1.00	0.63
PdomMRNAr1.2-00279.1	1244	genemark	3	591	1.00	1.00
PdomMRNAr1.2-00280.1	1995	snap	2	462	0.45	0.14
PdomMRNAr1.2-00281.1	531	VIGA	2	336	0.00	0.00
PdomMRNAr1.2-00282.1	2443	genemark	7	1515	1.00	0.95
PdomMRNAr1.2-00283.1	642	snap	3	489	1.00	0.30
PdomMRNAr1.2-00284.1	1694	genemark	5	1281	1.00	0.92
PdomMRNAr1.2-00285.1	300	genemark	1	300	0.94	0.73
PdomMRNAr1.2-00286.1	7531	genemark	16	2361	1.00	0.87
PdomMRNAr1.2-00287.1	3541	snap	4	303	0.77	0.28
PdomMRNAr1.2-00288.1	2889	VIGA	9	1737	1.00	1.00
PdomMRNAr1.2-00289.1	7626	augustus	5	2223	0.98	0.79
PdomMRNAr1.2-00290.1	19451	augustus	5	1431	1.00	0.50
PdomMRNAr1.2-00291.1	7279	augustus	4	3882	0.68	0.20
PdomMRNAr1.2-00292.1	3049	genemark	7	1077	1.00	1.00
PdomMRNAr1.2-00293.1	20571	VIGA	10	5715	1.00	0.88
PdomMRNAr1.2-00294.1	2094	snap	9	1368	0.00	0.00
PdomMRNAr1.2-00295.1	9207	genemark	20	3945	1.00	0.95
PdomMRNAr1.2-00296.1	1410	genemark	1	1410	1.00	0.90
PdomMRNAr1.2-00300.1	10157	augustus	15	4782	1.00	0.83
PdomMRNAr1.2-00301.1	3658	augustus	8	2472	1.00	0.61
PdomMRNAr1.2-00302.1	4043	genemark	8	1905	1.00	0.78
PdomMRNAr1.2-00303.1	898	genemark	2	258	1.00	0.32
PdomMRNAr1.2-00304.1	2895	snap	9	819	1.00	1.00
PdomMRNAr1.2-00305.1	792	augustus	2	408	0.69	0.21
PdomMRNAr1.2-00306.1	7390	snap	10	1002	0.07	0.02
PdomMRNAr1.2-00307.1	23605	snap	16	1320	0.22	0.07
PdomMRNAr1.2-00308.1	8390	snap	12	1572	0.98	0.78
PdomMRNAr1.2-00309.1	14535	augustus	13	3717	1.00	0.93
PdomMRNAr1.2-00310.1	19334	genemark	5	264	1.00	0.80
PdomMRNAr1.2-00311.1	2435	snap	3	423	0.16	0.05
PdomMRNAr1.2-00312.1	3749	genemark	12	2451	1.00	0.92
PdomMRNAr1.2-00313.1	17204	VIGA	5	1158	1.00	0.95
PdomMRNAr1.2-00314.1	3775	VIGA	9	1731	1.00	1.00
PdomMRNAr1.2-00315.1	30004	snap	14	3471	0.78	0.42
PdomMRNAr1.2-00316.1	2498	augustus	7	1488	1.00	0.89
PdomMRNAr1.2-00317.1	1283	augustus	4	774	1.00	0.75
PdomMRNAr1.2-00318.1	3657	VIGA	7	1203	1.00	1.00
PdomMRNAr1.2-00319.1	2999	VIGA	6	1071	1.00	1.00
PdomMRNAr1.2-00320.1	527	genemark	2	327	0.00	0.00
PdomMRNAr1.2-00321.1	31897	augustus	27	5349	0.98	0.83
PdomMRNAr1.2-00322.1	1982	augustus	8	1122	1.00	0.78
PdomMRNAr1.2-00323.1	36140	augustus	3	1116	0.00	0.00
PdomMRNAr1.2-00324.1	764	genemark	2	207	1.00	0.32
PdomMRNAr1.2-00325.1	231	genemark	1	231	0.00	0.00
PdomMRNAr1.2-00326.1	2906	augustus	3	474	0.00	0.00
PdomMRNAr1.2-00327.1	7289	genemark	10	1353	1.00	0.96
PdomMRNAr1.2-00328.1	443	genemark	2	351	1.00	0.30
PdomMRNAr1.2-00329.1	297	genemark	1	297	0.00	0.00
PdomMRNAr1.2-00330.1	543	genemark	1	543	0.00	0.00
PdomMRNAr1.2-00331.1	762	genemark	1	762	0.00	0.00
PdomMRNAr1.2-00332.1	4192	VIGA	6	1140	0.80	0.53
PdomMRNAr1.2-00333.1	14999	augustus	15	2406	1.00	0.96
PdomMRNAr1.2-00334.1	6329	snap	13	3675	0.99	0.90
PdomMRNAr1.2-00335.1	716	snap	2	222	1.00	0.30
PdomMRNAr1.2-00336.1	1403	genemark	2	204	0.88	0.91
PdomMRNAr1.2-00337.1	2940	genemark	8	834	1.00	0.95
PdomMRNAr1.2-00338.1	1836	augustus	5	444	1.00	0.99
PdomMRNAr1.2-00339.1	789	genemark	2	270	0.99	0.95
PdomMRNAr1.2-00340.1	10358	snap	3	381	1.00	0.99
PdomMRNAr1.2-00341.1	2229	snap	6	204	1.00	0.30
PdomMRNAr1.2-00342.1	937	augustus	3	783	0.00	0.00
PdomMRNAr1.2-00343.1	1523	VIGA	5	720	0.95	0.74
PdomMRNAr1.2-00344.1	2384	augustus	6	1458	1.00	0.99
PdomMRNAr1.2-00345.1	2725	augustus	6	1164	1.00	0.90
PdomMRNAr1.2-00346.1	11069	augustus	19	3324	1.00	1.00
PdomMRNAr1.2-00347.1	1782	augustus	3	504	1.00	1.00
PdomMRNAr1.2-00348.1	6987	genemark	14	2610	1.00	0.86
PdomMRNAr1.2-00349.1	14411	snap	9	801	0.84	0.40
PdomMRNAr1.2-00350.1	2159	snap	5	528	1.00	0.97
PdomMRNAr1.2-00351.1	55706	augustus	46	12879	0.43	0.17
PdomMRNAr1.2-00352.1	6953	augustus	2	792	0.74	0.22
PdomMRNAr1.2-00353.1	2053	genemark	6	726	1.00	0.95
PdomMRNAr1.2-00354.1	3156	genemark	9	1476	1.00	0.95
PdomMRNAr1.2-00356.1	927	genemark	1	927	1.00	0.90
PdomMRNAr1.2-00357.1	3389	genemark	8	921	1.00	1.00
PdomMRNAr1.2-00358.1	8616	snap	6	633	0.00	0.00
PdomMRNAr1.2-00359.1	420	genemark	1	420	1.00	0.90
PdomMRNAr1.2-00360.1	4303	genemark	9	1773	1.00	0.98
PdomMRNAr1.2-00361.1	3648	genemark	5	1608	1.00	0.95
PdomMRNAr1.2-00362.1	7019	snap	4	240	0.56	0.17
PdomMRNAr1.2-00363.1	1704	VIGA	1	1704	1.00	0.90
PdomMRNAr1.2-00364.1	3731	VIGA	12	2340	1.00	0.98
PdomMRNAr1.2-00365.1	6268	snap	11	3582	1.00	0.83
PdomMRNAr1.2-00366.1	14040	genemark	21	3258	1.00	0.92
PdomMRNAr1.2-00367.1	3516	augustus	4	735	1.00	0.99
PdomMRNAr1.2-00368.1	1962	snap	4	366	1.00	0.30
PdomMRNAr1.2-00369.1	15704	augustus	11	3282	1.00	0.82
PdomMRNAr1.2-00370.1	1275	genemark	6	858	1.00	0.54
PdomMRNAr1.2-00371.1	33850	augustus	3	600	0.22	0.09
PdomMRNAr1.2-00372.1	1696	augustus	4	744	1.00	1.00
PdomMRNAr1.2-00373.1	6058	genemark	12	1587	1.00	1.00
PdomMRNAr1.2-00374.1	13786	augustus	9	4371	0.82	0.25
PdomMRNAr1.2-00375.1	43771	augustus	33	6471	0.96	0.74
PdomMRNAr1.2-00376.1	2674	augustus	11	1452	1.00	0.96
PdomMRNAr1.2-00377.1	2626	augustus	7	1053	1.00	1.00
PdomMRNAr1.2-00378.1	7286	snap	7	636	1.00	1.00
PdomMRNAr1.2-00379.1	3766	snap	13	2088	1.00	0.96
PdomMRNAr1.2-00380.1	3436	snap	9	1278	1.00	0.95
PdomMRNAr1.2-00381.1	5559	snap	6	1158	0.07	0.02
PdomMRNAr1.2-00382.1	1763	genemark	3	1302	1.00	0.65
PdomMRNAr1.2-00383.1	2210	augustus	4	639	1.00	1.00
PdomMRNAr1.2-00384.1	8491	genemark	25	4941	1.00	1.00
PdomMRNAr1.2-00385.1	5055	augustus	8	1554	1.00	0.95
PdomMRNAr1.2-00386.1	3130	snap	4	357	0.97	0.29
PdomMRNAr1.2-00387.1	2109	VIGA	6	807	1.00	0.99
PdomMRNAr1.2-00388.1	2553	VIGA	3	663	1.00	1.00
PdomMRNAr1.2-00389.1	8853	snap	9	939	0.19	0.06
PdomMRNAr1.2-00390.1	3978	genemark	5	516	1.00	1.00
PdomMRNAr1.2-00391.1	6034	genemark	6	1377	1.00	1.00
PdomMRNAr1.2-00392.1	8746	snap	6	2808	0.99	0.30
PdomMRNAr1.2-00393.1	3349	snap	5	807	0.16	0.05
PdomMRNAr1.2-00394.1	4159	augustus	13	2430	1.00	0.95
PdomMRNAr1.2-00395.1	2428	augustus	5	963	1.00	0.85
PdomMRNAr1.2-00396.1	13976	augustus	5	1113	0.04	0.01
PdomMRNAr1.2-00397.1	5667	snap	5	576	0.00	0.00
